user_id,user_community,user_active_status,retweet_count,quote_count,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
1072933535516934144,1,active,494,118,1,1,94,33,389,81,2,1,8,2,147,22
3016071993,1,active,8150,682,25,133,1400,97,6527,436,93,12,105,4,2499,135
1225147380284018688,0,active,1389,248,1346,224,2,3,37,18,3,2,1,1,31,11
249420175,1,active,1733,166,8,15,100,19,1612,130,4,1,9,1,504,32
20562637,0,active,609,130,576,95,1,6,27,26,1,1,4,2,8,4
963790885937995777,0,active,22911,2020,22548,1674,14,43,342,293,6,8,1,2,551,171
21149655,1,active,12841,1196,107,222,2159,149,10277,780,97,20,201,25,3473,236
1225779630,1,active,27317,2711,40,26,2292,319,24667,2327,63,11,255,28,8349,667
454513795,2,active,16722,1599,19,10,96,110,16499,1428,39,47,69,4,6029,395
816652616625168388,1,active,8575,958,22,24,534,91,7975,839,14,1,30,3,3098,211
12008602,1,active,4963,536,10,24,390,63,4514,440,18,3,31,6,1538,119
1074480192,1,active,12110,1505,33,104,1596,249,10199,1133,51,7,231,12,3401,288
460646127,1,active,198,129,4,10,44,19,140,93,8,6,2,1,37,12
237299871,1,active,20219,2787,46,125,976,268,19097,2382,32,6,68,6,6363,620
1114631166,2,active,6715,1239,6,8,49,115,6635,1107,9,2,16,7,2445,319
166414119,1,active,15132,1690,32,13,2014,255,12978,1413,25,3,83,6,3624,306
166751745,1,active,40226,3181,76,75,5190,421,34442,2645,199,23,319,17,11536,656
1600275704,1,active,2332,358,10,10,429,46,1846,293,7,2,40,7,492,77
44385628,1,active,26459,1973,34,31,1963,220,24327,1716,52,2,83,4,8770,493
6782762,1,active,95901,9310,149,111,9176,1337,85364,7733,856,81,356,48,26485,1817
321954654,1,active,100066,10989,189,117,10361,1656,87183,8923,1280,172,1053,121,28492,2353
50434933,1,active,11253,888,32,13,910,106,10106,741,24,4,181,24,3271,181
1011970623470489601,0,active,1980,363,1938,354,1,2,28,4,3,1,10,2,37,17
704943112217608193,1,active,2304,211,4,14,197,36,2092,159,3,1,8,1,722,42
22703645,1,active,3955,2255,87,181,1282,361,2461,1690,27,8,98,15,701,457
22771961,0,active,5438,1658,5320,629,3,108,113,918,1,1,1,2,88,291
22815781,1,active,18807,1448,50,24,3976,299,14518,1108,36,2,227,15,4882,266
3085494124,1,active,1623,229,5,1,262,46,1336,179,5,1,15,2,374,33
1237578874424344576,1,active,2357,210,6,4,356,46,1953,154,17,2,25,4,661,37
1237612672373248000,1,active,108225,8520,181,227,9881,1113,96209,7016,802,91,1152,73,35456,2116
25101996,1,active,5793,430,17,48,779,64,4919,311,30,6,48,1,1878,69
25119138,1,active,5554,880,15,8,1484,143,4032,727,6,1,17,1,1110,206
1108472017144201216,1,active,47363,7211,130,243,8993,1286,37294,5540,405,65,541,77,13098,1424
26487169,1,active,120497,12934,224,345,13566,1761,103977,10384,778,115,1952,329,37425,3012
292929271,1,active,209077,18779,537,1279,40383,3044,166248,14348,398,28,1511,80,51762,3513
38284349,1,active,12568,1166,14,15,781,106,11649,1033,46,8,78,4,3672,286
39765354,1,active,1210,98,4,5,109,15,1046,75,18,2,33,1,353,17
999153867374841856,1,active,5607,958,21,13,1989,136,2123,425,1187,274,287,110,727,144
148529707,0,active,42183,2874,41818,2730,22,25,338,113,2,1,3,5,460,77
1133781254959239168,1,active,7864,732,11,8,568,71,7197,647,38,2,50,4,2506,173
931286316,1,active,22566,2104,62,79,1750,231,20535,1770,87,15,132,9,7063,506
89083397,1,active,4637,378,7,3,526,61,3935,308,104,5,65,1,1516,86
4165642155,2,active,15867,1438,12,8,113,113,15530,1304,102,4,110,9,6006,343
2874102076,1,active,3309,264,10,13,719,53,2557,192,10,3,13,3,833,52
17349381,1,active,1442,102,4,4,239,11,1168,81,6,1,25,5,324,11
216776631,0,active,60659,1836,60377,1522,36,111,232,200,6,1,8,2,421,107
216881337,1,active,9395,1318,65,365,1890,187,7352,756,20,1,68,9,2053,204
1313966902704771072,1,active,15611,1816,17,14,600,186,14847,1588,52,18,95,10,8261,769
389318167,2,active,4495,556,7,3,38,58,4428,489,6,1,16,5,1184,142
202070444,1,active,886,256,2,2,143,74,709,176,21,3,11,1,211,57
902200087,1,active,3339,430,22,5,487,81,2811,340,6,2,13,2,809,88
16106584,1,active,15044,986,56,30,1635,135,13098,801,60,7,195,13,3973,260
1037175323614429184,1,active,1007,85,3,1,77,12,887,67,27,4,13,1,419,27
1881296893,1,active,1244,53,1,1,77,7,1163,42,2,1,1,2,471,11
78523300,1,active,158284,12974,301,97,25633,2097,129624,10587,393,37,2333,156,39739,2970
