user_id,user_community,user_active_status,closeness_centrality_detractor_cluster,closeness_centrality_promoter_cluster,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
1141043467822481408,1,suspended,,0.25768362615519674,6,4,379,634,6609,960,16,6,55,7,2958,882
1146622958309449729,1,suspended,,0.2011640825968374,3,2,428,140,979,649,2,13,25,23,285,241
1159914146202357764,1,suspended,,0.22475131368743792,1,2,37,7,504,67,4,2,16,2,278,34
1160884009586614272,1,suspended,,0.23465066050994046,1,6,72,42,2510,479,18,4,11,1,1055,196
1165398811008819200,2,suspended,,0.2452559065011774,5,6,37,53,9029,1129,7,1,20,3,3985,339
1181952938266304512,2,suspended,,0.2362024177851854,4,3,13,26,8044,534,2,1,3,1,3892,151
1185340096834428928,1,suspended,,0.23913737771756075,10,4,515,64,5601,558,6,2,19,1,1731,147
1197653491214368768,2,suspended,,0.2687163301583,17,6,129,110,22647,1804,26,4,46,4,8845,550
1203183006820786176,2,suspended,,0.22207220914678438,2,2,5,20,4788,424,7,1,6,1,2441,149
1217558302797828098,1,suspended,,0.2539528759479316,5,3,761,157,3338,1068,96,27,50,27,1344,400
1230961593451712513,1,suspended,,0.24777777934578873,7,8,572,56,13292,530,13,2,34,4,7924,216
1232070580150640640,1,suspended,,0.2393865000343697,11,8,452,179,4566,872,21,8,35,7,1706,275
1242539267169157127,1,suspended,,0.2473851696728379,14,4,585,72,13588,767,51,6,136,11,6628,328
1251728704251674624,2,suspended,,0.2187848658532431,2,1,4,5,899,149,1,4,6,2,232,74
1260320164463009792,2,suspended,,0.2490205540003181,5,3,98,37,7301,537,17,2,8,1,2765,145
1295118701533048844,1,suspended,,0.23299905072983437,15,13,578,176,14367,1761,56,28,147,15,7862,908
1295381681025687553,1,deleted,,0.23595819138119817,11,11,1881,69,9762,650,4,1,25,1,4371,186
1299502791535333376,2,deleted,,0.20941041441721991,2,3,5,33,374,214,4,2,6,2,68,54
1312481033619566594,1,suspended,,0.2526414090237419,8,6,215,63,5103,838,12,5,17,7,1774,280
1316218894927888384,1,suspended,,0.21175039549845986,4,1,323,74,5199,484,2,1,17,1,2893,269
1316392732135501828,2,suspended,,0.2331811771767389,6,2,44,49,8815,875,8,3,9,2,4331,249
1317296407473172480,2,suspended,,0.21952669589033935,2,2,15,38,5162,462,7,1,125,28,2513,191
1318701904524939264,2,suspended,,0.26090774546072976,8,2,50,58,7838,813,6,3,24,2,3365,236
1323221842828537856,1,suspended,,0.227345279065405,12,8,1711,209,8603,1214,53,7,42,10,2736,408
1323962412526129157,1,suspended,,0.2264391687304898,15,5,1680,123,6858,631,16,2,14,1,1829,161
1324700371156111360,2,suspended,,0.265077868637221,3,1,80,67,5045,537,75,21,27,3,2075,160
1326641561682276352,1,suspended,,0.2202611712237043,5,6,125,20,2570,193,15,1,20,1,1643,117
1327740359535964161,2,suspended,,0.23486473504716188,4,2,10,20,5844,345,6,3,14,1,2839,108
1329553031919267844,1,suspended,,0.250793083436139,8,7,296,99,5490,1023,25,3,38,4,1913,366
1246056780007784449,1,active,,0.2091985489806018,8,2,394,33,966,147,11,5,9,1,239,34
14362404,0,active,0.16418341423327304,,15403,2294,9,50,283,89,1,5,1,1,191,47
2438831503,1,active,,0.26887779691230657,22,14,1582,222,16236,1338,37,5,93,7,6520,422
720843893441306624,1,active,,0.31613009822801325,36,262,1429,94,6715,436,118,12,145,7,2525,163
35039490,1,active,,0.24564888902712229,33,15,1788,153,9213,817,25,5,47,1,2785,218
138809881,1,active,,0.2970211020286769,62,328,1932,233,19239,1406,104,28,108,9,6305,437
1640929196,0,active,0.1354012486500063,,73571,5600,27,28,697,127,4,1,3,1,1024,183
3406938525,1,active,,0.2923030374916081,101,55,6190,581,73291,5146,131,14,297,14,27100,1495
15777543,1,active,,0.2702410501902334,5,5,112,17,1479,172,4,1,11,1,447,36
749686190,1,active,,0.2313517155040838,22,16,363,60,3065,294,84,7,64,10,1138,88
763924202365722631,1,active,,0.21510551488487395,31,247,361,64,2423,347,13,2,17,1,673,100
178017745,1,active,,0.216983469033129,5,1,37,26,554,199,3,2,1,1,160,38
426802833,0,active,0.1637922081248099,,5754,1130,13,97,146,520,4,4,13,8,99,149
18247062,1,active,,0.2630786334834966,65,28,1790,157,10793,712,26,2,146,9,4494,237
20247015,1,active,,,1,1,173,26,378,29,24,7,47,6,181,16
759251,0,active,0.10722697698910885,,7634,1009,27,110,215,481,3,5,2,4,166,155
20813198,1,active,,0.26775432622314493,7,14,324,56,3430,253,18,3,14,1,1210,64
495379332,1,active,,0.2598323502880178,10,6,408,91,16310,1514,17,1,39,4,5292,439
115681686,2,active,,0.2584346338707152,24,77,88,190,15696,2073,80,47,73,12,4386,445
1209417007,1,active,,0.2665714534446115,42,36,1892,248,10528,1451,43,7,77,10,3341,371
1209936918,1,active,,0.2733032783828123,133,147,6812,751,45666,3613,490,67,763,49,17602,1104
22187085,0,active,0.13088539731969143,,24556,2746,3,3,267,63,3,2,4,1,304,86
3047722897,1,active,,0.2823822101973911,15,20,986,103,10940,800,72,6,99,6,4116,239
11856032,1,active,,0.22009587702782699,432,110,130,47,1015,415,17,9,14,1,405,153
1081312310059253763,1,active,,0.24393227844390256,14,24,439,66,4668,596,6,2,84,10,1358,175
19091173,1,active,,0.2748228115228165,110,70,13075,805,23293,1920,61,4,115,11,6427,403
3267456386,1,active,,0.26374271939536365,31,10,1217,167,4692,414,30,4,106,17,1367,90
1015029427284127745,2,active,,0.2696497361964604,27,13,171,217,21569,2031,124,18,134,23,8884,620
15392486,1,active,,0.26706720457588135,161,74,1150,526,7951,2193,107,42,158,51,2986,662
1022693675250249729,1,active,,0.2372162822578662,12,30,568,56,3607,252,12,2,17,3,1011,59
875856268056969216,1,active,,0.3093920273339563,200,201,18679,2133,154176,13572,357,65,952,94,55009,3980
878087280321335298,1,active,,0.24509267316220226,14,75,621,60,3100,404,19,2,18,1,963,129
878247600096509952,1,active,,0.27053157841705106,92,38,9632,530,25450,2182,134,12,151,5,7003,468
51241574,0,active,0.15022523270088395,,6724,2665,15,126,225,723,1,1,12,14,131,237
807095,0,active,0.16657699655790767,,19487,3121,53,289,554,1058,7,16,34,15,407,353
23022687,1,active,,0.2598609382283235,52,123,4852,339,14666,1211,57,7,344,16,4642,364
3063933906,1,active,,0.2443305150944947,23,24,666,146,4665,938,21,7,42,10,1280,229
519897737,1,active,,0.2343308880469193,1,3,82,9,1071,50,1,1,7,1,364,10
24127811,1,active,,0.31833293866033724,609,215,3425,174,8878,525,87,7,130,3,3074,138
974435384271630336,1,active,,0.19911521584609862,4,1,69,57,1199,106,1,1,5,1,644,47
526651932,1,active,,0.22606980394731951,3,3,287,134,2384,799,3,1,71,23,1304,368
534881613,1,active,,0.26363768750260197,40,14,2831,383,32086,2807,77,11,161,13,12200,803
26900055,2,active,,0.2554266538761181,9,5,29,47,3209,539,14,2,18,2,1126,143
27000730,1,active,,0.2848503581506754,116,18,5631,303,10713,713,31,2,68,10,2724,132
27067705,1,active,,0.26219490519059785,24,17,1348,147,6371,692,12,2,26,3,1807,202
27075032,0,active,0.16188764824036156,,4069,1597,26,103,200,374,3,6,4,6,108,116
36912523,1,active,,0.2656786725758012,5,17,216,40,2315,216,22,7,25,3,820,52
302312898,0,active,0.15131627683378343,,13567,4123,28,63,219,148,4,4,2,4,142,282
1131935075623415810,1,active,,0.23662909422298006,7,2,164,23,961,97,8,3,72,6,336,30
149269179,1,active,,0.2939803553591168,38,144,1703,318,6587,1078,502,141,97,19,2119,335
794652195484565504,1,active,,0.2955877229586124,32,49,1671,632,11385,2959,142,64,71,14,3457,828
1324579241430798339,1,active,,0.24906142441175805,6,14,347,38,7257,496,2,1,8,1,3015,142
1327116445243719680,1,active,,0.24507900582111247,12,5,408,78,7624,888,11,2,20,4,2362,255
415581517,0,active,0.15359748187905312,,4338,1259,9,26,253,147,2,4,4,2,122,66
1329919859900227587,1,active,,0.2366827601040539,4,1,73,18,3186,212,42,3,20,2,1785,111
934049237628841984,1,active,,0.25487330525985713,4,2,226,49,5443,370,49,7,46,4,2497,145
93059852,1,active,,0.26090536171645445,10,5,296,38,3740,275,5,1,19,1,1342,64
1312036582422196224,1,active,,0.2379650135658654,2,4,324,84,7698,694,14,4,52,11,4505,332
16585184,1,active,,0.2297909157108825,7,12,207,38,6392,522,5,1,31,2,2110,137
203226736,1,active,,0.2641429159411384,21,22,822,96,7213,576,21,2,16,4,2269,142
3995778614,1,active,,0.2521111777602282,19,8,877,81,9124,741,13,1,28,2,2944,192
2853461537,1,active,,0.3477682896684846,375,474,12410,1095,69144,5239,329,34,616,27,20201,1218
1038120930663231488,0,active,0.1260948193197147,,246,96,1,143,93,324,9,14,2,11,42,80
774074669230071809,1,active,,0.26943487078085654,8,1,499,106,6136,739,34,2,49,8,2381,245
3622368202,0,active,0.17855526132884464,,53519,5442,22,20,520,185,3,3,4,1,636,166
3530404094,1,active,,0.33047216484411435,154,123,10422,860,56107,4312,312,25,472,25,20506,1129
1304530918716190721,1,active,,0.27717220631921047,38,34,2208,486,5689,1716,87,51,120,38,1650,548
1043185714437992449,1,active,,0.2740587867618745,68,15,3995,272,53669,3183,66,2,106,5,19413,894
1117898546055761920,1,active,,0.2579801148868217,5,16,253,71,5815,493,41,3,29,3,2522,126
722060515216896001,2,active,,0.2270823211492288,1,2,23,42,4053,353,4,2,14,1,1887,122
33417701,1,active,,0.24762708622189908,7,20,308,85,9794,1134,10,2,48,2,3899,367
33608041,1,active,,0.25442948637780854,61,77,5128,373,25718,1879,34,3,118,5,8232,482
14458643,1,active,,0.21873973967135305,4,6,240,18,895,66,5,1,8,2,305,25
15719232,1,active,,0.2729442179642058,8,9,657,110,5935,681,77,10,78,8,2144,163
350822109,1,active,,0.24175465323598788,16,5,686,62,3025,244,4,1,26,2,846,63
1029094268542099457,1,active,,0.3195981580688716,56,109,1278,98,7380,471,83,7,96,3,2942,117
