tweet_id,user_community,community_type,user_active_status,retweet_count,quote_count,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users,date
1337168397398921217,1,promoter,active,7399,1053,14,5,613,129,6636,896,46,1,90,22,2602,240,2020_12
1337194529087234048,1,promoter,suspended,5927,487,3,4,353,53,5459,423,66,5,46,2,2507,154,2020_12
1337202864486223873,1,promoter,suspended,6954,565,4,2,676,85,6167,473,67,4,40,1,2677,168,2020_12
1337203526880141312,1,promoter,suspended,959,100,2,1,61,9,867,86,3,2,26,2,344,24,2020_12
1337206008565796864,1,promoter,suspended,6610,589,5,3,335,56,6219,521,22,4,29,5,2905,229,2020_12
1337249737687375873,1,promoter,active,1004,150,4,4,154,31,818,112,26,2,2,1,224,25,2020_12
1337251453359026183,1,promoter,suspended,9985,747,14,6,730,89,8917,629,191,15,133,8,3711,225,2020_12
1337252977871106049,1,promoter,suspended,5558,331,6,3,246,27,5207,293,60,7,39,1,2405,125,2020_12
1337254492069367809,1,promoter,active,3848,300,9,5,416,36,3392,257,8,1,23,1,1044,63,2020_12
1337264198041133057,1,promoter,suspended,3984,227,6,1,117,23,3789,199,34,3,38,1,1879,65,2020_12
1337384885481336832,1,promoter,active,3478,249,6,3,224,24,3194,219,22,2,32,1,1355,63,2020_12
1337485320301006848,1,promoter,active,826,130,7,16,82,16,706,91,22,4,9,3,233,29,2020_12
1337527990805274627,1,promoter,active,19573,2243,44,17,5252,452,14105,1762,102,9,70,3,3732,364,2020_12
1337544827555221515,1,promoter,suspended,6996,884,5,44,421,104,6452,698,58,7,60,31,2861,236,2020_12
1337573459824697344,1,promoter,active,4618,641,9,14,513,93,4053,526,16,4,27,4,1510,98,2020_12
1337575073704718339,1,promoter,suspended,1457,155,1,1,82,20,1338,129,29,3,7,2,729,62,2020_12
