"domain","tweet_count","retweet_count_metadata","quote_count_metadata","tweet_count_by_community_0","retweet_count_by_community_0","quote_count_by_community_0","tweet_count_by_community_1","retweet_count_by_community_1","quote_count_by_community_1","tweet_count_by_community_2","retweet_count_by_community_2","quote_count_by_community_2","tweet_count_by_community_3","retweet_count_by_community_3","quote_count_by_community_3","tweet_count_by_community_4","retweet_count_by_community_4","quote_count_by_community_4","tweet_count_by_suspended_users","retweet_count_by_suspended_users","quote_count_by_suspended_users"
"washingtonpost.com",1,196,29,1,130,10,0,1,0,0,0,5,0,1,0,0,0,0,0,2,3
"politicususa.com",53,97,10,48,80,12,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0
"politicususa.com",47,142,20,41,80,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"cnn.com",16,414,36,11,120,7,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1
"deadstate.org",14,93,42,11,87,38,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1
"politicususa.com",29,221,45,25,91,19,0,0,0,1,3,1,0,0,0,0,0,0,0,2,1
"rawstory.com",52,75,18,48,68,18,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2
"washingtonpost.com",2,150,20,2,120,11,0,2,1,0,4,2,0,0,0,0,0,0,0,3,1
"newsweek.com",26,282,184,14,72,46,0,0,0,0,2,1,0,0,0,0,0,0,1,2,2
"foxnews.com",3,174,27,2,112,18,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"cnn.com",2,92,83,2,83,46,0,0,3,0,2,12,0,0,0,0,0,0,0,0,0
"washingtonpost.com",75,60,12,64,54,13,0,0,0,2,3,1,0,0,0,0,0,0,1,0,2
"washingtonpost.com",1,131,24,1,114,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"politicususa.com",34,113,9,26,93,9,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1
"youtube.com",1,342,40,1,121,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1
"theguardian.com",118,50,12,68,46,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"cnn.com",2,125,20,1,109,12,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0
"rawstory.com",43,94,7,29,85,8,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1
"rawstory.com",40,215,29,38,70,13,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0
"rawstory.com",55,70,6,49,62,10,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0
"rawstory.com",12,98,16,12,91,18,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"washingtonpost.com",65,97,31,54,52,14,1,3,3,1,28,12,0,0,0,0,1,0,0,8,4
"nytimes.com",30,0,0,26,85,9,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2
"rawstory.com",41,224,29,36,78,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"youtube.com",230,11,0,110,7,1,4,0,0,7,0,0,0,0,0,0,0,0,8,0,0
"news.yahoo.com",183,28,5,95,20,3,2,0,0,12,6,0,0,0,0,0,0,0,1,3,1
"cnn.com",112,45,3,77,38,3,1,0,0,3,1,0,0,0,0,0,0,0,4,1,0
"legislationline.org",148,19221,1973,0,24,92,30,2021,161,73,5628,509,0,25,2,0,119,8,26,1793,139
"thehill.com",2,362,265,2,51,63,0,4,21,0,205,114,0,5,2,0,6,1,0,56,40
"nytimes.com",32,94,9,23,83,10,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
"washingtonpost.com",4,312,31,4,102,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"rawstory.com",2,193,89,2,77,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"rawstory.com",67,50,4,61,48,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"nytimes.com",78,73,8,40,69,5,0,0,0,2,1,2,0,0,0,0,0,0,1,2,0
"rawstory.com",54,60,12,46,56,12,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0
"washingtonpost.com",2,140,10,1,106,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"theguardian.com",102,52,3,65,45,2,0,0,0,1,1,1,0,0,0,0,0,0,3,1,0
"politicususa.com",35,62,24,31,56,25,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0
"theguardian.com",2,114,14,1,101,8,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1
"rawstory.com",22,94,6,20,84,6,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0
"independent.co.uk",1,91,36,1,83,24,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"rawstory.com",27,71,10,25,75,8,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"rawstory.com",3,103,11,3,97,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"nytimes.com",1,112,6,1,100,5,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
"washingtonpost.com",4,111,22,3,95,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"cnn.com",46,136,12,31,66,6,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0
"youtube.com",154,13,1,89,11,2,0,0,0,7,5,0,0,0,0,0,0,0,1,0,0
"youtube.com",1,120,21,1,97,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"pscp.tv",1,115,11,1,92,8,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
"rawstory.com",40,125,16,30,61,9,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1
"washingtonpost.com",21,97,9,15,78,6,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0
"independent.co.uk",1,101,57,1,79,18,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"washingtonpost.com",7,74,40,6,68,24,0,0,0,0,1,2,0,0,0,0,0,0,0,2,2
"msn.com",83,90,9,50,39,8,0,0,0,2,1,1,0,0,0,0,0,0,1,2,0
"msn.com",1,50,49,1,48,48,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"rawstory.com",2,221,16,1,93,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0
"washingtonpost.com",1,94,61,1,68,27,0,0,1,0,1,6,0,0,0,0,0,0,0,1,1
"independent.co.uk",3,123,29,2,86,8,0,0,1,0,2,5,0,0,0,0,1,0,0,0,1
"rawstory.com",20,84,28,19,57,20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"nytimes.com",1,216,28,1,81,12,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
"newsweek.com",1,109,48,1,67,26,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
"theguardian.com",2,105,12,1,89,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
"rawstory.com",1,90,6,1,85,7,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
"deadstate.org",3,345,31,3,83,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"independent.co.uk",3,121,53,2,69,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"newsweek.com",3,118,20,2,83,7,0,1,0,1,14,8,0,2,0,0,0,0,0,5,1
"rawstory.com",9,214,42,9,68,14,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
"politicususa.com",42,74,9,36,50,5,0,0,0,2,3,0,0,0,0,0,0,0,1,1,0
"washingtonpost.com",1,233,51,1,73,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"thedailybeast.com",61,43,2,52,37,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"washingtonpost.com",2,107,26,2,77,9,0,0,0,0,2,1,0,0,0,0,0,0,0,3,1
"nytimes.com",105,17,0,69,17,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"washingtonpost.com",1,92,16,1,81,6,0,1,0,0,2,3,0,0,0,0,0,0,0,3,1
"theguardian.com",2,59,41,1,56,31,0,0,0,0,3,3,0,0,0,0,0,0,0,2,4
"washingtonpost.com",76,23,2,63,21,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"washingtonpost.com",1,82,23,1,69,17,0,1,0,0,4,2,0,0,0,0,1,0,0,5,0
"nytimes.com",84,3,0,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rawstory.com",17,64,12,17,58,11,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
"newsweek.com",1,243,36,1,76,8,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1
"cnn.com",1,119,128,1,47,37,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0
"theguardian.com",1,72,42,1,65,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"rawstory.com",23,225,61,22,53,9,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0
"newsweek.com",3,195,30,3,70,11,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"cnn.com",3,89,18,3,68,13,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
"politicususa.com",33,189,15,31,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rawstory.com",1,103,24,1,67,15,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0
"rawstory.com",16,67,12,14,59,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"thehill.com",3,129,114,3,42,37,0,0,2,0,8,6,0,0,0,0,0,0,0,3,4
"youtube.com",97,33,3,49,30,2,1,0,0,2,0,1,0,0,0,0,0,0,3,0,1
"newsweek.com",2,194,40,2,72,6,0,0,0,0,1,3,0,0,0,0,0,0,0,1,3
"rawstory.com",18,175,41,18,49,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"politicususa.com",27,123,57,23,38,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"rawstory.com",15,86,12,13,59,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
"thehill.com",1,89,17,1,70,9,0,0,0,0,10,2,0,1,0,0,0,0,0,6,2
"nytimes.com",54,51,1,40,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"washingtonpost.com",25,56,8,19,54,7,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1
"thedailybeast.com",9,67,8,9,63,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"washingtonpost.com",40,234,20,17,60,2,4,8,3,2,118,12,0,5,0,0,4,0,1,80,6
"rawstory.com",8,209,9,8,69,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
"washingtonpost.com",76,15,0,65,13,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0
"cnn.com",1,72,10,1,68,10,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"thehill.com",17,209,37,17,55,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"msn.com",77,17,3,57,18,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"nypost.com",5,164,105,0,66,11,1,26,8,1,42,59,0,0,0,0,1,0,0,11,18
"thedailybeast.com",1,192,71,1,52,24,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
"theguardian.com",2,74,40,1,63,13,0,0,0,0,3,4,0,1,0,0,0,0,0,0,1
"youtube.com",106,8,0,69,7,1,1,0,0,4,1,0,0,0,0,0,0,0,1,0,1
"deadstate.org",1,63,22,1,59,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"rawstory.com",2,66,15,2,61,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"thedailybeast.com",10,122,11,10,60,6,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"newsweek.com",2,83,8,2,70,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
"newsweek.com",2,101,14,1,67,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"washingtonpost.com",1,81,21,1,65,8,0,0,0,0,6,2,0,0,0,0,0,0,0,3,1
"msn.com",43,51,6,23,43,8,1,0,0,6,0,1,0,0,0,0,1,0,3,1,2
"nytimes.com",74,21,3,53,19,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"cnn.com",1,242,25,1,62,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"youtube.com",89,7,0,62,9,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"rawstory.com",17,66,11,15,48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"nytimes.com",29,118,22,19,45,7,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1
"rawstory.com",38,67,5,34,34,3,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0
"newsweek.com",3,62,26,2,52,17,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1
"independent.co.uk",1,30,59,1,26,44,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
"newsweek.com",1,113,11,1,63,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"youtube.com",79,20,1,52,15,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2
"news.yahoo.com",48,82,13,34,29,6,1,0,0,1,1,1,0,0,0,0,0,0,2,1,0
